sign_in,2023-05-24T20:29:02.329654234
welcome,2023-05-24T20:29:16.754629206
show-series,2023-05-24T20:29:21.512550432
show-groups,2023-05-24T20:29:24.682310009
show-students,2023-05-24T20:29:26.007575230
back,2023-05-24T20:29:26.023706510
show-groups,2023-05-24T20:29:26.023963385
back,2023-05-24T20:29:28.713746201
show-series,2023-05-24T20:29:28.714298311
back,2023-05-24T20:29:30.462837276
welcome,2023-05-24T20:29:30.463454259
show-teachers,2023-05-24T20:29:33.310563461
show-teacher,2023-05-24T20:29:37.405790511
back,2023-05-24T20:29:37.426909483
show-teachers,2023-05-24T20:29:37.427555267
back,2023-05-24T20:29:40.891514196
welcome,2023-05-24T20:29:40.892110796
show-admins,2023-05-24T20:29:43.572474167
back,2023-05-24T20:29:43.581008458
welcome,2023-05-24T20:29:43.581483143
back,2023-05-24T20:29:51.938459022
sign_in,2023-05-24T20:29:51.938997969
welcome,2023-05-24T20:29:55.563595489
dashboard,2023-05-24T20:29:56.963495966
back,2023-05-24T20:29:56.999004064
welcome,2023-05-24T20:29:56.999260066
quit,2023-05-24T20:30:00.278407192
sign_in,2023-05-24T20:35:03.124782035
welcome,2023-05-24T20:35:11.897728915
add-student,2023-05-24T20:35:16.893873522
back,2023-05-24T20:35:47.243261789
welcome,2023-05-24T20:35:47.243928552
add-teacher,2023-05-24T20:35:51.261573083
back,2023-05-24T20:36:17.702530559
welcome,2023-05-24T20:36:17.702945833
add-admin,2023-05-24T20:36:20.806413049
back,2023-05-24T20:36:44.370691439
welcome,2023-05-24T20:36:44.371002720
add-subject,2023-05-24T20:36:47.694927620
back,2023-05-24T20:36:57.729019807
welcome,2023-05-24T20:36:57.729477754
add-subject-to-teacher,2023-05-24T20:37:00.902955730
back,2023-05-24T20:37:21.009527051
welcome,2023-05-24T20:37:21.010135143
create-series,2023-05-24T20:37:38.154302525
back,2023-05-24T20:37:44.359666254
welcome,2023-05-24T20:37:44.360306606
create-group,2023-05-24T20:37:47.520320838
back,2023-05-24T20:38:02.979178017
welcome,2023-05-24T20:38:02.979657972
show-admins,2023-05-24T20:38:07.452357076
back,2023-05-24T20:38:07.464621827
welcome,2023-05-24T20:38:07.464843671
show-teachers,2023-05-24T20:38:11.384038219
show-teacher,2023-05-24T20:38:16.912973346
back,2023-05-24T20:38:16.919744307
show-teachers,2023-05-24T20:38:16.919937987
show-teacher,2023-05-24T20:38:21.691521352
back,2023-05-24T20:38:21.701032302
show-teachers,2023-05-24T20:38:21.701275741
back,2023-05-24T20:38:25.505325950
welcome,2023-05-24T20:38:25.505825515
back,2023-05-24T20:38:28.186868567
sign_in,2023-05-24T20:38:28.187616128
welcome,2023-05-24T20:38:33.585160023
dashboard,2023-05-24T20:38:35.878539500
back,2023-05-24T20:38:35.899498871
welcome,2023-05-24T20:38:35.899716270
back,2023-05-24T20:38:44.720389647
sign_in,2023-05-24T20:38:44.721126772
welcome,2023-05-24T20:38:53.195247172
show-subjects,2023-05-24T20:38:54.915032111
show-students-course,2023-05-24T20:38:58.287528158
back,2023-05-24T20:39:06.494415710
show-subjects,2023-05-24T20:39:06.495072364
show-students-course,2023-05-24T20:39:11.841247469
back,2023-05-24T20:39:19.113724943
show-subjects,2023-05-24T20:39:19.114334193
back,2023-05-24T20:39:23.879929967
welcome,2023-05-24T20:39:23.880392624
quit,2023-05-24T20:39:28.752072668
sign_in,2023-05-24T20:45:15.856042877
